KO01	KO02	KO03	WT01	WT02	WT03
ENSG00000279457.4	44.9000054968566	71.276542496878	70.1428099206377	54.9643554106012	44.9874373176527	56.1017780731122
ENSG00000225972.1	39.0796344139307	36.126466744993	63.6481052983564	20.0831298615658	15.3148722783498	36.7880511954834
ENSG00000225630.1	8717.25291905638	10942.4138597604	16756.3379254857	5406.58996010048	4885.4442567936	6993.4085322614
ENSG00000237973.1	851.437141273725	1060.3606185152	1435.32972152416	618.348998369264	563.778735746754	645.630298480734
ENSG00000229344.1	74.833342494761	85.9224073934968	141.584560765732	35.9382323838546	38.2871806958746	38.6274537552576
ENSG00000240409.1	15.7981500822273	31.2445117794534	57.1534006760751	11.6270751830118	19.1435903479373	21.153129437403
ENSG00000248527.1	20198.3506209193	27383.8617927047	46487.7967453649	13135.4239362989	12153.308332388	19744.1470766159
ENSG00000198744.5	89.8000109937132	133.765566055785	261.087125815707	42.2802733927702	56.4735915264151	87.3716215892731
ENSG00000228327.3	61.529637162359	78.1112794486334	101.317392107588	57.0783690802397	68.9169252525743	57.0214793529993
ENSG00000237491.8	49.8888949965073	41.0084217105326	31.1745821869501	41.2232665579509	43.0730782828589	43.225960154693
ENSG00000228794.8	598.666739958088	638.559709492578	600.110707098789	565.498656628301	539.849247811832	512.273612897107
ENSG00000188976.10	7404.34349906496	7438.14658549612	8239.18228382601	6270.16454414781	6337.48558468465	7894.71578655074
ENSG00000187961.13	346.727820225726	417.895345050189	340.322522207538	454.512938972279	410.630012963255	461.690042503317
ENSG00000187608.8	475.60746563337	432.541209946808	516.978487933589	609.89294369071	564.735915264151	704.491180393507
ENSG00000188157.14	104.766679492665	89.8279713659284	128.595151521169	125.783813343491	118.690260157211	186.699359817078
ENSG00000131591.17	676.826008785949	792.829486403629	922.24805636394	670.142333275407	670.982841695203	842.44637237657
ENSG00000186891.13	172.11668773795	167.939250814562	205.232666064088	199.774291780839	223.02282755347	225.326813572336
ENSG00000186827.10	28.2703738313541	25.3861658208059	33.7724640358626	24.3111572008428	19.1435903479373	21.153129437403
ENSG00000078808.16	5440.38399936912	5539.06610390122	6221.92702814545	5212.10070249374	5130.4822132472	6061.75113573578
ENSG00000176022.4	1135.80384275382	1144.33024392248	1085.91461284543	1154.25146362263	1140.95798473706	1299.53790848045
ENSG00000184163.3	10.8092605825766	16.5986468828346	19.4841138668438	27.4821777053006	18.1864108305404	16.5546230379675
ENSG00000160087.20	4056.79864479932	4079.36156920488	4373.5340926442	3539.91588980968	3709.07062991285	4259.13662715709
ENSG00000162572.20	24.9444474982537	27.3389478070217	19.4841138668438	32.7672118793969	36.3728216610809	34.0289473558222
ENSG00000131584.18	1117.51124792176	1192.17340258477	1095.00719931662	1262.06616077419	1277.83465572482	1303.2167136
ENSG00000169972.11	1164.90569816845	1184.3622746399	1330.1155066432	889.999754917812	883.476694557307	1053.9776667506
ENSG00000127054.20	5071.20617639497	5783.1638521782	6815.54303062196	4665.62816889219	4572.44655460483	5570.63065227608
ENSG00000240731.1	164.633353488474	186.490679683612	148.079265388013	162.779052562165	135.919491470355	143.473399662385
ENSG00000224051.6	2013.84839469235	2152.94213980296	2736.86852782933	1899.4412821702	2037.83519253793	2359.95348419026
ENSG00000169962.4	308.47966739507	383.721660291412	441.639914315126	489.394164521315	435.516680415574	530.667638494848
ENSG00000107404.19	1689.57057721505	1786.79551738749	1771.75542095833	1962.86169225935	1907.65877817195	2200.8451627698
ENSG00000162576.16	48.2259318299571	47.843158662288	35.0714049603188	52.8503417409627	46.9017963524464	51.5032716736768
ENSG00000175756.13	3931.24492572478	3921.1862283214	4156.61095826001	3680.49779884064	3626.75319141672	4432.04046777586
ENSG00000221978.11	2672.38180864624	2943.81884422037	2404.33965116853	3484.95153439908	3084.9895845701	2910.85455084263
ENSG00000224870.6	1054.31864759285	1020.32858779777	1141.76907259705	953.420165006967	942.821824635913	1090.76571794608
ENSG00000242485.5	2935.12998896118	2851.06169987512	2730.37382320704	2838.0633514897	2826.55111487294	3282.41386791701
ENSG00000272455.1	104.766679492665	98.6154903038997	93.5237465608502	85.6175536203596	90.9320541527022	88.2913228691602
ENSG00000215915.9	22.4500027484283	20.5042108552663	35.0714049603188	32.7672118793969	24.8866674523185	34.9486486357092
ENSG00000160072.19	2239.1799037599	2449.76500170777	2196.50910325552	2442.7427952673	2178.54058159527	2813.36621517459
ENSG00000284740.1	26.6074106648039	23.43338383459	32.4735231114063	21.1401366963851	13.4005132435561	14.7152204781934
ENSG00000197785.13	4097.5412423798	4270.73420385403	4509.92288971211	4009.22692446943	4018.23961403204	4979.26272930868
ENSG00000160075.11	8217.53248750803	8160.67592039598	8359.98378980045	7411.73192575261	7520.55946818717	8900.86898674721
ENSG00000215014.4	27.438892248079	22.4569928414821	22.0819957157563	20.0831298615658	23.9294879349216	34.0289473558222
ENSG00000272106.1	62.3611187456342	75.1821064693097	81.833278240744	68.7054442632515	78.488720426543	58.8608819127735
ENSG00000197530.12	830.650101691847	974.438211121702	1048.2453260362	1070.7479236719	1096.92772693681	1296.77880464079
ENSG00000248333.8	2271.60768550763	2315.99943565198	2574.50091227229	2056.93530055827	1895.21544444579	2347.99736755173
ENSG00000189339.11	1150.77051125277	1089.65234830844	1198.92247327312	1122.54125857805	1065.34080286271	975.803057960198
ENSG00000269737.2	49.0574134132322	41.0084217105326	40.2671686581439	40.1662597231317	39.2443602132715	33.1092460759351
ENSG00000008128.22	65.6870450787346	72.2529334899859	77.9364554673752	77.1614989418055	69.8741047699712	80.0140113501764
ENSG00000268575.1	24.9444474982537	43.9375946898563	41.5661095826001	31.7102050445776	24.8866674523185	27.5910383966126
ENSG00000215790.7	428.213015386688	453.045420802074	401.372745656982	571.840697637216	519.748477946498	503.996301378123
ENSG00000008130.15	7470.86202572697	7434.24102152369	7618.28852193593	7258.46593470382	7265.94971655961	7731.00895873084
ENSG00000078369.17	32944.1318109436	33783.128361534	35780.626705072	29878.4121998358	30099.4671040618	33045.7866876229
ENSG00000231050.1	27.438892248079	19.5278198621584	14.2883501690188	20.0831298615658	16.2720517957467	26.6713371167255
ENSG00000178821.12	40.742597580481	45.8903766760721	85.7301010141127	72.9334716025285	100.503849326671	68.9775959915314
ENSG00000067606.16	643.566745454944	656.134747368521	696.232335508552	584.524779655047	569.521812851135	675.980440717008
ENSG00000182873.5	82.3166767442371	75.1821064693097	100.018451183132	76.1044921069863	93.8035927048928	90.1307254289344
ENSG00000162585.16	1205.64829574893	1272.23746401962	1474.29794925785	1219.78588738142	1172.54490881116	1639.82738203867
ENSG00000157933.9	1220.61496424788	1364.01821737176	1456.11277631546	965.047240189979	1011.73874988849	1041.10184883218
ENSG00000116151.13	378.324120390181	422.777300015728	467.618732804251	350.926269159992	336.927190123697	401.909459310656
ENSG00000269896.2	19.1240764153278	24.4097748276979	27.2777594135813	26.4251708704813	29.6725650393028	32.189544796048
ENSG00000157916.19	3695.10415607464	3302.15433869098	2760.24946446954	3526.17480095703	3595.16626734263	3621.78364019534
ENSG00000157911.9	516.350063213851	526.274745285168	623.491643739002	565.498656628301	523.577196016085	618.039260084121
ENSG00000149527.17	18.2925948320527	11.716691917295	23.3809366402126	13.7410888526503	16.2720517957467	21.153129437403
ENSG00000157881.13	1213.1316299984	1240.99295224016	1102.80084486336	1072.86193734154	1089.27029079763	1200.21017025265
ENSG00000272449.2	21.6185211651532	24.4097748276979	12.9894092445625	29.5961913749391	15.3148722783498	31.2698435161609
ENSG00000238164.6	18.2925948320527	31.2445117794534	27.2777594135813	22.1971435312043	29.6725650393028	25.7516358368384
ENSG00000157873.17	181.262985153977	169.892032800778	149.378206312469	163.836059396984	189.521544444579	183.02055469753
ENSG00000157870.14	126.385200657819	181.608724718073	211.727370686369	160.665038892527	162.720517957467	218.888904613126
ENSG00000130762.14	9.97777899930146	13.6694739035109	18.1851729423875	13.7410888526503	13.4005132435561	15.6349217580805
ENSG00000158109.14	2264.12435125816	2239.84093818956	2510.85280697394	1888.87121382201	2045.4926286771	2114.39324246041
ENSG00000116213.15	1185.69273775032	1251.73325316435	1162.55212738835	1333.9426255419	1355.36619663396	1563.49217580804
ENSG00000078900.14	89.8000109937132	87.8751893797126	90.9258647119377	88.7885741248173	74.6600023569555	82.7731151898377
ENSG00000227372.11	501.383394714899	464.762112719369	515.679547009133	561.270629289024	510.176682772529	584.930014008186
ENSG00000235169.8	11.6407421658517	17.5750378759425	20.7830547913001	17.9691161919273	19.1435903479373	25.7516358368384
ENSG00000130764.9	4056.79864479932	4135.01585581203	4146.21943086436	3738.6331747557	3593.25190830783	4257.29722459732
ENSG00000116198.12	4525.75425776649	4230.70217313661	4465.7588982806	3995.48583561678	4045.04064051915	4170.84530428793
ENSG00000169598.15	437.359312802714	399.343916181138	367.60028162112	431.258788606256	412.544371998049	468.127951462526
ENSG00000198912.10	1132.47791642072	1075.98287440493	994.98874813349	1060.17785532371	1087.35593176284	1144.10839217953
ENSG00000236423.5	185.420393070352	170.868423793886	201.335843290719	132.125854352407	153.148722783498	144.393100942272
ENSG00000284703.1	20.7870395818781	18.5514288690504	24.6798775646688	19.0261230267466	19.1435903479373	15.6349217580805
ENSG00000131697.17	796.559356777567	827.003171162406	818.33278240744	861.460570377692	816.474128339526	814.855333979958
ENSG00000069424.14	4184.01532704041	4425.98037175819	4685.27991451371	5409.76098060494	5544.94094428004	6092.10127797205
ENSG00000116251.9	3040.72815003712	2704.60305090893	2312.11484553213	3416.24609013583	3420.002415659	3392.77802150346
ENSG00000116237.15	7322.858303904	6774.20071018273	6684.34999725188	7992.02867806838	8132.19717980377	7307.94636998278
ENSG00000225077.2	49.0574134132322	50.7723316416117	50.6586960537939	49.6793212365049	50.7305144220339	43.225960154693
ENSG00000158292.6	75.6648240780361	76.1584974624176	114.30680135215	115.213744995299	110.07564450064	132.43698430374
ENSG00000097021.19	4205.63384820557	4094.98382509461	4743.73225611424	3470.15343871161	3593.25190830783	4405.36913065914
ENSG00000187017.16	57.3722292459834	71.276542496878	106.513155805413	62.363403254336	72.7456433221618	77.2549075105152
ENSG00000171680.21	60.6981555790839	54.6778956140434	83.1322191652002	61.3063964195167	74.6600023569555	53.3426742334509
ENSG00000162408.10	4558.18203951422	4260.97029392295	4928.18186738702	4036.70910217473	4193.40346571567	4031.05070974509
ENSG00000204859.12	1114.18532158866	1194.12618457098	1217.10764621551	1059.12084848889	1038.5397763756	1214.00568945095
ENSG00000162413.16	2548.49105273825	2440.97748276979	2642.04584034402	2123.52673115188	2050.27852626409	2052.77325670797
ENSG00000116273.5	966.181599765692	887.539412735097	881.980887705796	936.508055649859	1024.18208361465	910.504267088214
ENSG00000041988.15	392.459307305858	419.848127036405	418.258977674914	384.750487874208	404.886935858874	456.171834823994
ENSG00000007923.15	3751.64490373735	4003.20307174246	3968.26452421385	3437.38622683221	3408.51626145024	3704.55675538518
ENSG00000171735.18	1892.45208353418	1908.84439152598	1683.4274380953	1693.32494938044	1768.86774814941	2067.48847718617
ENSG00000049245.12	967.013081348967	882.657457769558	646.872580379214	1275.80724962684	1249.11927020291	1138.59018450021
ENSG00000049246.14	63.1926003289093	52.7251136278276	62.3491643739002	64.4774169239745	61.2594891133994	41.3865575949188
ENSG00000116288.12	8318.14175908432	8066.94238505762	7853.39682926251	7886.32799458645	7975.21973895068	9083.88954144474
ENSG00000284747.1	36.5851896641054	31.2445117794534	53.2565779027064	35.9382323838546	36.3728216610809	40.4668563150318
ENSG00000116285.12	300.996333145594	254.838049201167	263.685007664619	215.629394303128	223.980007070867	225.326813572336
ENSG00000142599.17	12101.3829629861	13289.6578071919	19426.9604661677	10271.9924207735	10390.183661343	10974.7953728926
ENSG00000074800.14	74682.8443281882	74019.2247965181	70965.0395258185	74549.6350529672	77264.4878237924	80275.2065136644
ENSG00000142583.17	3332.57818576669	3242.5944881114	3027.83129490753	3870.75902910811	3814.36037682651	3842.51194736824
ENSG00000180758.11	108.092605825766	87.8751893797126	115.605742276607	180.748168754092	169.420774579245	172.903840618772
ENSG00000049239.12	542.957473878655	640.512491478794	672.851398868339	761.044921069863	731.285151291205	625.396870323218
ENSG00000171621.13	2021.33172894182	1861.00123286369	2523.8422162185	2093.93053977694	2048.36416722929	2876.8256034868
ENSG00000284652.1	17.4611132487776	19.5278198621584	25.9788184891251	14.7980956874696	19.1435903479373	27.5910383966126
ENSG00000284693.1	43.2370423303063	31.2445117794534	41.5661095826001	38.0522460534931	44.0302578002558	44.1456614345801
